2017-09-29 16:38:23 TRACE root:9 - trace message
2017-09-29 16:38:23 DEBUG root:10 - debug message
2017-09-29 16:38:23 INFO  root:11 - info message
2017-09-29 16:38:23 WARN  root:12 - warn message
2017-09-29 16:38:23 ERROR root:13 - error message
2017-09-29 16:38:23 FATAL root:14 - fatal message
2017-09-29 16:38:35 DEBUG root:10 - debug message
2017-09-29 16:38:35 INFO  root:11 - info message
2017-09-29 16:38:35 WARN  root:12 - warn message
2017-09-29 16:38:35 ERROR root:13 - error message
2017-09-29 16:38:35 FATAL root:14 - fatal message
2017-09-29 16:38:45 ERROR root:13 - error message
2017-09-29 16:38:45 FATAL root:14 - fatal message
2017-09-29 16:38:53 DEBUG root:10 - debug message
2017-09-29 16:38:53 INFO  root:11 - info message
2017-09-29 16:38:53 WARN  root:12 - warn message
2017-09-29 16:38:53 ERROR root:13 - error message
2017-09-29 16:38:53 FATAL root:14 - fatal message
2017-09-29 16:39:04 DEBUG root:10 - debug message
2017-09-29 16:39:04 INFO  root:11 - info message
2017-09-29 16:39:04 WARN  root:12 - warn message
2017-09-29 16:39:04 ERROR root:13 - error message
2017-09-29 16:39:04 FATAL root:14 - fatal message
